page_id,page_name,page_url,page_last_update,page_content_html,page_content_md,scrape_date
7529,Requerimento Geral,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/apoio-academico/requerimento/,14/Abr/2022 17:01,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/apoio-academico_requerimento.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/apoio-academico_requerimento.md,2024-10-25
7519,Qualificação - PPGCComputação,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/apoio-academico/qualificacao/,08/Ago/2022 10:58,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/apoio-academico_qualificacao.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/apoio-academico_qualificacao.md,2024-10-25
6403,Normas e Regulamentos - PPGCC,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/apoio-academico/normas-e-regulamentos/,26/Set/2024 16:00,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/apoio-academico_normas-e-regulamentos.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/apoio-academico_normas-e-regulamentos.md,2024-10-25
7528,Homologação - Alunos Pres. Prudente - FCT,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/apoio-academico/homlogacao/,17/Out/2024 09:04,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/apoio-academico_homlogacao.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/apoio-academico_homlogacao.md,2024-10-25
1795,Pós-Graduação em Ciência da Computação - Guia rápido do aluno,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/apoio-academico/guia-rapido/,12/Ago/2024 16:35,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/apoio-academico_guia-rapido.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/apoio-academico_guia-rapido.md,2024-10-25
7603,Orientações sobre Estudos Especiais,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/apoio-academico/estudos-especiais/,20/Set/2022 12:49,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/apoio-academico_estudos-especiais.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/apoio-academico_estudos-especiais.md,2024-10-25
7526,Defesa,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/apoio-academico/defesa/,18/Abr/2022 11:38,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/apoio-academico_defesa.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/apoio-academico_defesa.md,2024-10-25
7526,Defesa,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/apoio-academico/,18/Abr/2022 11:38,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/ciencia-da-computacao_apoio-academico.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/ciencia-da-computacao_apoio-academico.md,2024-10-25
7246,Egressos,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/pessoas/egressos/,02/Out/2023 16:19,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/pessoas_egressos.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/pessoas_egressos.md,2024-10-25
1734,Pós-Graduação em Ciência da Computação - Corpo Docente,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/pessoas/docentes/,19/Ago/2024 12:22,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/pessoas_docentes.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/pessoas_docentes.md,2024-10-25
1734,Pós-Graduação em Ciência da Computação - Corpo Docente,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/pessoas/,19/Ago/2024 12:22,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/ciencia-da-computacao_pessoas.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/ciencia-da-computacao_pessoas.md,2024-10-25
8185,Reuniões do Conselho,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/conselho6820/reuniao-do-conselho/,05/Fev/2024 17:13,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/conselho6820_reuniao-do-conselho.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/conselho6820_reuniao-do-conselho.md,2024-10-25
1735,Pós-Graduação em Ciência da Computação - Conselho,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/conselho6820/composicao/,07/Ago/2023 11:22,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/conselho6820_composicao.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/conselho6820_composicao.md,2024-10-25
1735,Pós-Graduação em Ciência da Computação - Conselho,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/conselho6820/,07/Ago/2023 11:22,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/ciencia-da-computacao_conselho6820.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/ciencia-da-computacao_conselho6820.md,2024-10-25
1733,Pós-Graduação em Ciência da Computação - Apresentação,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/apresentacao/,13/Jul/2023 14:45,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/ciencia-da-computacao_apresentacao.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/ciencia-da-computacao_apresentacao.md,2024-10-25
6403,Normas e Regulamentos - PPGCC,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/normas-e-regulamentos/,26/Set/2024 16:00,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/ciencia-da-computacao_normas-e-regulamentos.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/ciencia-da-computacao_normas-e-regulamentos.md,2024-10-25
1816,Pós-Graduação em Ciência da Computação - Overview,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/this-page-in-english/,02/Out/2023 15:06,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/ciencia-da-computacao_this-page-in-english.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/ciencia-da-computacao_this-page-in-english.md,2024-10-25
7357,Fale Conosco,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/fale-conosco/,03/Nov/2021 16:00,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/ciencia-da-computacao_fale-conosco.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/ciencia-da-computacao_fale-conosco.md,2024-10-25
1773,Pós-Graduação em Ciência da Computação - Projetos,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/pesquisa-e-projetos/projetos/,05/Fev/2013 10:11,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/pesquisa-e-projetos_projetos.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/pesquisa-e-projetos_projetos.md,2024-10-25
1772,Pós-Graduação em Ciência da Computação - Linhas de Pesquisa,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/pesquisa-e-projetos/linhas-de-pesquisa/,09/Jun/2017 17:13,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/pesquisa-e-projetos_linhas-de-pesquisa.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/pesquisa-e-projetos_linhas-de-pesquisa.md,2024-10-25
6399,Pesquisa e Projetos,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/pesquisa-e-projetos/,18/Fev/2019 09:06,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/ciencia-da-computacao_pesquisa-e-projetos.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/ciencia-da-computacao_pesquisa-e-projetos.md,2024-10-25
